LINK,SCHOOL,LAT,LONG,NAME,CONFERENCE,COLOR_SOURCE,R0,G0,B0,HEX0,R1,G1,B1,HEX1,R2,G2,B2,HEX2,R3,G3,B3,HEX3,R4,G4,B4,HEX4
https://en.wikipedia.org/wiki/Appalachian_State_University,Appalachian State,36.21374025,-81.68428961,Mountaineers,Sun Belt,http://vt.uc.appstate.edu/style/colors,255,204,0,#FFCC00,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Arizona_State_University,Arizona State,33.4209,-111.934,Sun Devils,Pac-12,https://eoss.asu.edu/sites/default/files/ASU_Web_Toolkit.pdf,255,198,39,#FFC627,140,29,64,#8C1D40,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Arkansas_State_University,Arkansas State,35.8432861,-90.6748589,Red Wolves,Sun Belt,http://www.astate.edu/dotAsset/97210f70-4f5e-496c-8c0f-8db5dba0006a.pdf,204,9,47,#CC092F,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Auburn_University,Auburn,32.59829892,-85.49428816,Tigers,SEC,https://auburntigers.com/sports/2018/6/11/trads-04-auburn-colors-html.aspx,242,101,34,#F26522,12,35,64,#0C2340,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Ball_State_University,Ball State,40.20266645,-85.40579192,Cardinals,MAC,https://www.bsu.edu/-/media/www/departmentalcontent/marketing%20communications/pdfs/brand%20style%20guide.pdf,186,12,47,#BA0C2F,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Baylor_University,Baylor,31.548,-97.116,Bears,Big 12,http://www.baylor.edu/licensing/index.php?id=50497,0,48,21,#003015,255,188,25,#FFBC19,137,102,51,#896633,255,73,0,#FF4900,136,136,136,#888888
https://en.wikipedia.org/wiki/Boise_State_University,Boise State,43.604,-116.204,Broncos,Mountain West,https://brandstandards.boisestate.edu/official-colors/,0,57,166,#0039A6,249,70,28,#F9461C,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Boston_College,Boston College,42.335,-71.17028,Eagles,ACC,http://www.bc.edu/offices/omc/identity/colors.html,145,0,57,#910039,179,143,89,#B38F59,97,80,64,#615040,,,,,,,,
https://en.wikipedia.org/wiki/Bowling_Green_State_University,Bowling Green,41.38,-83.63,Falcons,MAC,https://www.bgsu.edu/content/dam/BGSU/marketing-and-communication/documents/graphic-standards-manual/intercollegiate-athletics-logos.pdf,255,124,25,#FF7C19,79,44,29,#4F2C1D,230,181,119,#E6B577,,,,,,,,
https://en.wikipedia.org/wiki/Brigham_Young_University,BYU,40.25,-111.649,Cougars,Independent,https://web.byu.edu/wiki/styleguide/colors,0,34,85,#002255,167,169,172,#A7A9AC,65,105,225,#4169E1,,,,,,,,
"https://en.wikipedia.org/wiki/California_State_University,_Fresno",Fresno State,36.81384946,-119.7461874,Bulldogs,Mountain West,https://www.fresnostate.edu/advancement/ucomm/brand/documents/AthleticsStyleGuide.pdf,255,0,89,#FF0059,0,74,168,#004AA8,0,184,17,#00B811,,,,,,,,
https://en.wikipedia.org/wiki/Central_Michigan_University,Central Michigan,43.5898,-84.7775,Chippewas,MAC,https://www.cmich.edu/fas/fmgt/pep/Documents/CMU%20Interior%20Color%20Palette%202015-v1.pdf,111,38,61,#6F263D,255,199,44,#FFC72C,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Clemson_University,Clemson,34.67833,-82.83917,Tigers,ACC,http://www.clemsontigers.com/ViewArticle.dbml?DB_OEM_ID=28500&ATCLID=209448109,245,102,0,#F56600,82,45,128,#522D80,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Coastal_Carolina_University,Coastal Carolina,33.7962442,-79.0136958,Chanticleers,Sun Belt,https://www.coastal.edu/media/administration/women/other/itsnew/CCU%20Graphic%20Standards%20Guide%202014.pdf,0,111,113,#006F71,162,119,82,#A27752,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Colorado_State_University,Colorado State,40.5762,-105.0808,Rams,Mountain West,http://graphicstandards.colostate.edu/files/pdf/csu-toolbox.pdf,29,115,40,#1D7328,235,124,0,#EB7C00,168,123,0,#A87B00,202,164,0,#CAA400,42,123,0,#2A7B00
https://en.wikipedia.org/wiki/Duke_University,Duke,35.98861,-78.90722,Blue Devils,ACC,https://styleguide.duke.edu/color-palette/,0,26,87,#001A57,7,54,164,#0736A4,,,,,,,,,,,,
https://en.wikipedia.org/wiki/East_Carolina_University,East Carolina,35.6075,-77.37,Pirates,American,http://grfx.cstv.com/photos/schools/ecu/genrel/auto_pdf/2013-14/misc_non_event/2014ECUStyleGuide.pdf,89,42,138,#592A8A,253,200,47,#FDC82F,195,195,195,#C3C3C3,,,,,,,,
https://en.wikipedia.org/wiki/Eastern_Michigan_University,Eastern Michigan,42.250154,-83.624454,Eagles,MAC,http://www.emich.edu/communications/documents/emu_id_standards.pdf,0,105,63,#00693F,150,150,150,#969696,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Florida_Atlantic_University,Florida Atlantic,26.371,-80.102,Owls,C-USA,http://www.fau.edu/branding/FAU_VSM.pdf,0,45,96,#002D60,193,4,53,#C10435,195,200,205,#C3C8CD,,,,,,,,
https://en.wikipedia.org/wiki/Florida_International_University,Florida International University,25.757,-80.374,Panthers,C-USA,http://www.fiu.edu/brand/logo-standards/,8,30,63,#081E3F,182,134,44,#B6862C,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Florida_State_University,Florida State,30.442,-84.298,Seminoles,ACC,http://unicomm.fsu.edu/brand/applying/colors/,120,47,64,#782F40,206,184,136,#CEB888,44,42,41,#2C2A29,,,,,,,,
https://en.wikipedia.org/wiki/Georgia_Southern_University,Georgia Southern,32.42087466,-81.78702705,Eagles,Sun Belt,http://news.georgiasouthern.edu/marketing/wp-content/uploads/sites/4/GS_IdentityStdsQuickGuide_Mar2016.pdf,4,28,66,#041C42,169,146,96,#A99260,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Georgia_State_University,Georgia State,33.753694,-84.385972,Panthers,Sun Belt,http://commkit.gsu.edu/files/2014/04/athletics_guide.pdf,0,57,166,#0039A6,198,12,48,#C60C30,102,102,102,#666666,,,,,,,,
https://en.wikipedia.org/wiki/Georgia_Tech,Georgia Tech,33.776,-84.396,Yellow Jackets,ACC,http://gtathl.com/build/img/georgiatech_athletic_wordmark_artsheet.pdf,179,145,66,#B39142,0,38,58,#00263A,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Indiana_University_Bloomington,Indiana,39.167222,-86.521389,Hoosiers,Big Ten,https://brand.iu.edu/design/colors.html,125,17,12,#7D110C,237,235,235,#EDEBEB,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Iowa_State_University,Iowa State,42.0262,-93.648,Cyclones,Big 12,http://grfx.cstv.com/confs/nacda/graphics/icla/iowastateart.pdf,130,36,51,#822433,167,25,48,#A71930,253,200,40,#FDC828,250,218,99,#FADA63,202,199,167,#CAC7A7
https://en.wikipedia.org/wiki/Jacksonville_State_University,Jacksonville State,33.822,-85.766,Gamecocks,C-USA,https://www.jsu.edu/marketingservices/styleguide/style_guide.pdf,202,32,38,#CA2026,64,64,65,#404041,,,,,,,,,,,,
https://en.wikipedia.org/wiki/James_Madison_University,James Madison,38.43525165,-78.86978699,Dukes,Sun Belt,https://www.jmu.edu/identity/our-style/color.shtml,69,0,132,#450084,203,182,119,#CBB677,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Kansas_State_University,Kansas State,39.1914,-96.5809,Wildcats,Big 12,https://www.k-state.edu/vpcm/branding/KansasStateUniversity-BrandGuide.pdf,81,40,136,#512888,209,209,209,#D1D1D1,167,167,167,#A7A7A7,,,,,,,,
