Stadium,City,State,Team,Conference,Capacity,Surface
Acrisure Stadium,Pittsburgh,PA,Pittsburgh,ACC,68400,Grass
Aggie Memorial Stadium,Las Cruces,NM,New Mexico State,C-USA,30343,S5-M Synthetic Turf
Alamodome,San Antonio,TX,UTSA,American,6000,SportField
Alaska Airlines Field at Husky Stadium,Seattle,WA,Washington,Pac-12,70083,FieldTurf
Albertsons Stadium,Boise,ID,Boise State,Mountain West,36387,FieldTurf
Allegiant Stadium,Paradise,NV,UNLV,Mountain West,65000,FieldTurf
Allen E. Paulson Stadium,Statesboro,GA,Georgia Southern,Sun Belt,25000,FieldTurf Vertex Prestige with CoolPlay
Alumni Stadium,Chestnut Hill,MA,Boston College,ACC,44500,AstroTurf
Amon G. Carter Stadium,Fort Worth,TX,TCU,Big 12,45000,Grass
DATCU Stadium,Denton,TX,North Texas,American,30850,PowerBlade Artificial Turf
Arizona Stadium,Tucson,AZ,Arizona,Pac-12,56029,FieldTurf
Arthur L. Williams Stadium,Lynchburg,VA,Liberty,C-USA,25000,FieldTurf
Autzen Stadium,Eugene,OR,Oregon,Pac-12,54000,FieldTurf
Bagwell Field at Dowdy–Ficklen Stadium,Greenville,NC,East Carolina,American,50000,Tifton 419 Hybrid Bermuda
Beaver Stadium,University Park,PA,Penn State,Big Ten,106572,Grass
Benson Field at Yulman Stadium,New Orleans,LA,Tulane,American,30000,Act Global UBU Speed Series S5-M
Bill Snyder Family Football Stadium,Manhattan,KS,Kansas State,Big 12,50000,Synthetic Turf
Blaik Field at Michie Stadium,West Point,NY,Army,Independent,38000,Field Turf
Bobby Bowden Field at Doak S. Campbell Stadium,Tallahassee,FL,Florida State,ACC,79560,Grass
Bobby Dodd Stadium at Hyundai Field,Atlanta,GA,Georgia Tech,ACC,55000,Legion NXT turf
Boone Pickens Stadium,Stillwater,OK,Oklahoma State,Big 12,60218,Astroturf 3D Decade
Elliott T. Bowers Stadium,Huntsville,TX,Sam Houston,C-USA,14000,Real Grass Pro Artificial Turf
Bridgeforth Stadium,Harrisonburg,VA,James Madison,Sun Belt,24878,FieldTurf
Brigham Field at Huskie Stadium,DeKalb,IL,NIU,MAC,23595,FieldTurf
Brooks Field at Wallace Wade Stadium,Durham,NC,Duke,ACC,40000,Latitude 36 Bermuda Grass
Brooks Stadium,Conway,SC,Coastal Carolina,Sun Belt,20000,Shaw Power Blade HD Turf
Bryant–Denny Stadium,Tuscaloosa,AL,Alabama,SEC,100077,Grass
Burgess–Snow Field at JSU Stadium,Jacksonville,AL,Jacksonville State,C-USA,24000,ProGrass
Cajun Field,Lafayette,LA,Louisiana,Sun Belt,41426,ProGrass
Camp Randall Stadium,Madison,WI,Wisconsin,Big Ten,76118,FieldTurf
L&N Federal Credit Union Stadium,Louisville,KY,Louisville,ACC,61000,FieldTurf
Carl Smith Center Home of David A. Harrison III Field at Scott Stadium,Charlottesville,VA,Virginia,ACC,61500,Grass
Carlisle-Faulkner Field at M.M. Roberts Stadium,Hattiesburg,MS,Southern Miss,Sun Belt,36000,Shaw Sports Momentum Turf
CEFCU Stadium,San Jose,CA,San Jose State,Mountain West,30456,AstroTurf
Centennial Bank Stadium,Jonesboro,AR,Arkansas State,Sun Belt,30964,ProGreen
Center Parc Stadium,Atlanta,GA,Georgia State,Sun Belt,25000,Artificial Turf
Clarence T. C. Ching Athletics Complex,Honolulu,HI,Hawaiʻi,Mountain West,16909,Artificial turf
Darrell K Royal–Texas Memorial Stadium,Austin,TX,Texas,Big 12,100119,FieldTurf
David Booth Kansas Memorial Stadium,Lawrence,KS,Kansas,Big 12,50071,FieldTurf
Davis Wade Stadium at Scott Field,Starkville,MS,Mississippi State,SEC,61337,Prescription Athletic Turf (Tifway 419 Bermuda Grass)
Dix Stadium,Kent,OH,Kent State,MAC,25000,FieldTurf
Donald W. Reynolds Razorback Stadium Frank Broyles Field,Fayetteville,AR,Arkansas,SEC,76212,PowerBlade HP
Doyt L. Perry Stadium,Bowling Green,OH,Bowling Green,MAC,24000,FieldTurf
Falcon Stadium,Colorado Springs,CO,Air Force,Mountain West,46692,FieldTurf
Faurot Field at Memorial Stadium,Columbia,MO,Missouri,SEC,61620,FieldTurf
FBC Mortgage Stadium,Orlando,FL,UCF,Big 12,44206,Grass
