fips,school
01001,Troy
01009,UAB
01017,Auburn
01021,Auburn
01033,UAB
01045,Troy
01051,Auburn
01065,Alabama
01079,UAB
01083,UAB
01099,Troy
01107,Alabama
01121,Jacksonville State
02050,Washington
02105,Washington
02122,Washington
02150,Washington
02164,Washington
02180,Washington
02188,Washington
02198,Washington
05141,Arkansas State
05145,Arkansas State
06005,Nevada
06021,California
06033,California
06043,Fresno State
06055,California
06089,Nevada
06099,Fresno State
06115,Nevada
08003,Air Force
08013,Colorado
08014,Colorado
08025,Air Force
08031,Colorado
08035,Air Force
08047,Colorado
12083,UCF
12087,Miami
12095,UCF
12111,Florida Atlantic
12119,South Florida
12125,Florida
13001,Georgia Southern
13013,Georgia
13029,Georgia Southern
13043,Georgia Southern
13055,Jacksonville State
13059,Georgia
13071,Florida State
13079,Georgia State
13091,Georgia Southern
13107,Georgia Southern
13113,Georgia State
13123,Georgia Tech
08053,Air Force
08057,Colorado
08059,Colorado
08073,Air Force
08083,New Mexico
08095,Colorado State
08105,Air Force
08111,Air Force
08123,Colorado State
09015,UConn
12001,Florida
12013,Florida State
12023,Florida
12039,Florida State
12055,Florida Atlantic
12059,Troy
12073,Florida State
02261,Washington
02270,Washington
04003,Arizona
04013,Arizona State
05001,Ole Miss
05009,Arkansas
05019,Louisiana Tech
05029,Arkansas
05043,Louisiana–Monroe
05051,Arkansas
05061,Louisiana Tech
05071,Arkansas
05085,Memphis
05097,Arkansas
05101,Arkansas
05111,Memphis
05123,Memphis
05129,Arkansas State
13309,Georgia Southern
13313,Georgia Tech
13319,Georgia Southern
15009,Hawaii
16015,Boise State
16021,Washington State
16045,Boise State
16051,Utah State
16057,Washington State
16067,Utah State
16081,Utah State
17005,Illinois
17009,Missouri
17019,Illinois
17029,Illinois
17035,Illinois
17049,Illinois
17055,Western Kentucky
17065,Western Kentucky
18051,Indiana
18059,Ball State
18069,Ball State
18079,Louisville
18085,Notre Dame
18095,Ball State
18105,Indiana
18115,Cincinnati
18125,Indiana
18131,Purdue
18139,Miami (OH)
18153,Indiana
18173,Louisville
18179,Ball State
18183,Ball State
19009,Iowa State
19017,Iowa
19021,Iowa State
19031,Iowa
19039,Iowa State
17073,Northern Illinois
17077,Arkansas State
17079,Indiana
17089,Northern Illinois
17103,Northern Illinois
17107,Illinois
17121,Illinois
17129,Illinois
17139,Illinois
17145,Illinois
17155,Northern Illinois
17169,Illinois
17175,Northern Illinois
17179,Illinois
17189,Illinois
17203,Illinois
18009,Ball State
18011,Ball State
18021,Indiana
18033,Bowling Green
13125,Georgia Southern
13129,Georgia Tech
13131,Florida State
13139,Georgia
13157,Georgia
13169,Georgia
13175,Georgia Southern
13187,Georgia
13197,Auburn
13201,Florida State
13217,Georgia
13225,Georgia State
13233,Georgia Tech
13243,Florida State
13253,Florida State
13265,Georgia
13277,Florida State
13285,Auburn
13293,Georgia State
13303,Georgia Southern
20027,Kansas State
20029,Kansas State
20039,Kansas State
20049,Tulsa
20065,Kansas State
20075,Air Force
20085,Kansas
20095,Oklahoma State
20105,Kansas State
20115,Kansas State
20127,Kansas State
20135,Kansas State
20145,Kansas State
20155,Oklahoma State
20163,Kansas State
20173,Oklahoma State
20185,Kansas State
20195,Kansas State
20203,Air Force
20205,Tulsa
21183,Western Kentucky
21187,Kentucky
21189,Kentucky
21199,Tennessee
21209,Kentucky
21219,Vanderbilt
21229,Kentucky
22001,Louisiana
22013,Louisiana Tech
22033,LSU
22053,Louisiana
22073,Louisiana–Monroe
22077,LSU
22089,Tulane
22105,Tulane
22115,Louisiana
21003,Western Kentucky
21009,Western Kentucky
21017,Kentucky
21025,Marshall
21031,Western Kentucky
21043,Marshall
21053,Tennessee
21063,Marshall
21077,Cincinnati
21087,Western Kentucky
21099,Western Kentucky
21103,Kentucky
21115,Marshall
21121,Tennessee
21137,Kentucky
21143,Western Kentucky
21151,Kentucky
21157,Vanderbilt
21169,Western Kentucky
21175,Marshall
19045,Iowa
19047,Iowa State
19055,Iowa
19063,Iowa State
19067,Iowa State
19079,Iowa State
19087,Iowa
19095,Iowa
19105,Iowa
19113,Iowa
19121,Iowa State
19125,Iowa State
19137,Nebraska
19141,Iowa State
19151,Iowa State
19161,Iowa State
19169,Iowa State
19175,Iowa State
19181,Iowa State
19195,Iowa State
20005,Kansas
20015,Tulsa
27073,Minnesota
27083,Minnesota
27085,Minnesota
27093,Minnesota
27103,Minnesota
27113,Minnesota
27121,Minnesota
27127,Minnesota
27147,Minnesota
27153,Minnesota
27161,Minnesota
28003,Ole Miss
28013,Mississippi State
28017,Mississippi State
28029,Southern Miss
28037,LSU
28049,Southern Miss
28061,Southern Miss
28065,Southern Miss
28075,Southern Miss
22121,LSU
22127,Louisiana Tech
23009,Boston College
23029,Boston College
24001,Penn State
24003,Navy
24009,Navy
24017,Maryland
24019,Navy
24029,Navy
24035,Navy
24037,Navy
24039,Navy
24041,Navy
25011,UMass
26009,Central Michigan
26015,Western Michigan
26023,Western Michigan
26035,Central Michigan
26037,Michigan State
26045,Michigan State
26057,Michigan State
26061,Wisconsin
26073,Central Michigan
26077,Western Michigan
26083,Minnesota
26085,Central Michigan
26091,Toledo
26097,Central Michigan
26103,Central Michigan
26107,Central Michigan
26111,Central Michigan
26117,Michigan State
26123,Central Michigan
26133,Central Michigan
26143,Central Michigan
26155,Michigan State
26161,Eastern Michigan
26165,Central Michigan
27009,Minnesota
27019,Minnesota
27029,Minnesota
27039,Minnesota
27051,Minnesota
27057,Minnesota
27067,Minnesota
29097,Arkansas
29103,Missouri
29109,Arkansas
29117,Missouri
29131,Missouri
29137,Missouri
29151,Missouri
29159,Missouri
29169,Missouri
29179,Arkansas State
29195,Missouri
29205,Missouri
29211,Missouri
29221,Missouri
29229,Arkansas State
30013,Washington State
30037,Utah State
30043,Washington State
31121,Nebraska
31125,Nebraska
31135,Colorado State
31137,Nebraska
31147,Kansas
31159,Nebraska
31163,Nebraska
31171,Nebraska
31183,Nebraska
32009,UNLV
32021,Nevada
32033,BYU
34007,Temple
34015,Temple
34031,Rutgers
35001,New Mexico
35006,New Mexico
30051,Washington State
30059,Utah State
30069,Wyoming
30093,Boise State
30099,Washington State
30107,Utah State
31003,Nebraska
31009,Nebraska
31023,Nebraska
31035,Nebraska
31037,Nebraska
31047,Nebraska
31053,Nebraska
31063,Nebraska
31073,Nebraska
31085,Nebraska
31093,Nebraska
31097,Nebraska
31117,Nebraska
28079,Mississippi State
28083,Ole Miss
28095,Mississippi State
28099,Mississippi State
28103,Mississippi State
28115,Mississippi State
28117,Ole Miss
28127,Southern Miss
28139,Ole Miss
28151,Louisiana–Monroe
29001,Missouri
29009,Arkansas
29021,Kansas
29033,Missouri
29043,Arkansas
29053,Missouri
29065,Arkansas State
29075,Kansas
29085,Missouri
37001,North Carolina
37005,Appalachian State
37017,Coastal Carolina
37021,Appalachian State
37027,Appalachian State
37055,East Carolina
37057,Charlotte
37067,Wake Forest
37081,North Carolina
37091,Old Dominion
37103,East Carolina
37117,East Carolina
37127,East Carolina
37141,East Carolina
37151,North Carolina
37165,Coastal Carolina
37167,Charlotte
39055,Kent State
39063,Bowling Green
39065,Ohio State
39075,Akron
39089,Ohio
39097,Ohio State
39109,Miami (OH)
39121,Ohio
39131,Marshall
39143,Bowling Green
